Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9721818,591954,BVI,-,2026-01-30,80,Spain,D113/D256,5,16,2,3.0034410640000004,16,0.37543013300000005,26.636114475126583,5.327222895025317,0.2,-,-,,,,RT/DB,C1,8,,,,,,15,C1,C1,,,
9721832,591960,BVI,-,2026-01-30,42,Belgium,D113/D256,7,11,2,1.4884251480000004,6,0.18605314350000005,28.21774414147428,7.390361560862312,0.2619047619047619,-,-,,,,RT/DB,C3/4,4,,,,,,10,C1,C1,,,
9722226,590188,BVI,-,2026-02-06,10,UK,D120,10,12,2,0.2991432,1,0.0373929,33.428806003278694,40.114567203934435,1.2,-,-,,,,DB - UK,Offline,3,,,,,,12,Offline,Offline,,,
9721825,591985,BVI,-,2026-01-30,36,UK,D113/D256,9,20,3,1.4552813088,4,0.1819101636,24.737485311128594,13.743047395071443,0.5555555555555556,-,-,,,,DB - UK,C1,8,,,,,,17,C1,C1,,,
9721086,591995,BVI,-,2026-01-23,304,Spain,D113/D256,8,10,2,8.699692457600001,38,1.0874615572000002,34.943763987246165,1.1494659206330975,0.03289473684210526,x,-,,,,RT/DB,C1,8,,,,,,7,C3/4,C1,,,
9721094,591996,BVI,-,2026-01-23,231,Spain,D113/D256,7,10,2,6.6106215714,33,0.826327696425,34.943763987246165,1.5127170557249423,0.04329004329004329,x,-,,,,RT/DB,C3/4,4,,,,,,7,C3/4,C1,,,
9721004,592008,BVI,-,2026-01-23,272,Belgium,D113/D256,8,18,3,10.2116996176,34,1.2764624522,26.636114475126586,1.7626840461480828,0.0661764705882353,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722273,590850,BVI,-,2026-02-06,12,Italy,D113/D256,12,12,2,0.37614383760000003,1,0.047017979700000004,31.902689345029426,31.902689345029426,1,-,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9722211,592010,BVI,-,2026-02-05,287,Belgium,D113/D256,7,22,3,12.069748034400002,41,1.5087185043000002,23.778458272867088,1.8227389616831915,0.07665505226480836,-,-,,,,RT/DB,C2,8,,,,,,18,C1,C2,,,
9721103,591616,BVI,-,2026-02-06,14,Belgium,D113/D256,7,19,3,0.5666974306,2,0.070837178825,24.704541160840055,33.52759157542579,1.3571428571428572,-,-,,,,RT/DB,Offline,3,,,,,,15,Offline,Offline,,,
9721463,592023,BVI,-,2026-01-15,564,Denmark,D113/D256,12,17,3,21.1479448404,47,2.64349310505,26.66925813625927,0.803860617582283,0.030141843971631204,x,-,,,,RT/DB,C1,8,,,,,,13,C1,C1,,,
9722182,591762,BVI,-,2026-02-06,7,Belgium,D113/D256,7,19,3,0.320178985,1,0.040022373125,21.862771536988912,59.341808457541326,2.7142857142857144,-,-,,,,RT/DB,Offline,3,,,,,,14,Offline,Offline,,,
9718775,592029,BVI,-,2026-01-13,1800,UK,D113/D256,10,19,3,71.36520786,180,8.9206509825,25.222374515199796,0.26623617543822004,0.010555555555555556,x,-,,,,DB - UK,C1,8,,,,,,18,C1,C1,,,
9721735,592044,BVI,-,2026-01-30,32,Belgium,D113/D256,8,23,3,1.6223489472000001,4,0.20279361840000001,19.72448655711742,14.176974712928144,0.71875,-,-,,,,RT/DB,No Info,8,,,,,,18,C1,C2,,,
9722394,588941,BVI,-,2026-02-10,28,Austria,D113/D256,7,20,3,1.230663686,4,0.15383296075,22.751951096410266,16.25139364029305,0.7142857142857143,-,-,,,,RT/DB,Offline,3,,,,,,12,Offline,Offline,,,
9722106,NS58935699,BVI,-,2026-02-04,108,UK,D113/D256,12,10,2,6.0173006760000005,9,0.7521625845000001,17.948247198408737,1.6618747405934013,0.09259259259259259,-,-,,,,DB - PB,No Info,8,,,,,,10,C1,C1,,,
9715445,NS59021699,BVI,-,2025-12-02,30,France,D113/D256,10,18,3,1.619065614,3,0.20238320175,18.529205821302806,11.117523492781684,0.6,x,-,,,,DB - PB,C1,8,,,,,,13,C1,C1,,,
9721841,NS59092999,BVI,-,2026-01-30,30,UK,D113/D256,10,24,3,1.305669555,3,0.163208694375,22.97671710664955,18.381373685319637,0.8,-,-,,,,DB - PB,C2,8,,,,,,22,C2,C2,,,
9722213,NS59175299,BVI,-,2026-02-06,50,Italy,D113/D256,5,24,3,2.23799502,10,0.2797493775,22.34142594294066,10.723884452611516,0.48,-,-,,,,DB - PB,C2,8,,,,,,19,C1,C2,,,
