Order No,Part No,Brand,Box Type,Start Date,Lot Size,Country,Wrap Type,CPU,Picks,Frames,Hours,Boxes,Time for Job,Qty/Hr,Picks/Hr,Picks/Qty,Backlog,PB,Shipment,Check,Shift,Steriliser Loc.,Suggested Line,Maximum People per Line,Helper Cell,Efficiency,Actual Hrs (Planned),STD Hours,Sequence,Components,Line based on Components,Line Based on Picks and CPU,Job Nature,,
9720894,588698,BVI,-,2026-01-23,240,Germany,D113/D267,20,10,2,7.5856998959999995,12,0.9482124869999999,31.63847809568026,1.3182699206533441,0.041666666666666664,x,-,,,,RT/DB,No Info,8,,,,,,9,C3/4,C1,,,
9721019,591001,BVI,-,2026-01-23,16,UK,D113/D256,8,31,4,0.9642101808,2,0.1205262726,16.593892409147646,32.15066654272356,1.9375,x,-,,,,DB - UK,Offline,3,,,,,,27,Offline,Offline,,,
9717988,590955,BVI,-,2026-01-12,1000,Austria,D113/D256,50,7,1,25.443382800000002,20,3.1804228500000002,39.302949920637126,0.27512064944445985,0.007,x,-,,,,RT/DB,C3/4,4,,,,,,4,C3/4,C3/4,,,
9718770,588688,BVI,-,2026-01-13,260,UK,D113/D256,20,6,1,7.140010644,13,0.8925013305,36.41451154116795,0.8403348817192603,0.023076923076923078,x,-,C3/4,x,,DB - UK,C3/4,4,,,,,,6,C3/4,C3/4,,,
9721020,591113,BVI,-,2026-01-23,28,UK,D113/D256,7,20,3,1.132751074,4,0.14159388425,24.71858172786866,17.656129805620473,0.7142857142857143,x,-,,,,DB - UK,Offline,3,,,,,,18,Offline,Offline,,,
9721065,591207,BVI,-,2026-01-23,12,UK,D113/D256,12,22,3,0.5128632912,1,0.0641079114,23.398048185360164,42.8964216731603,1.8333333333333333,x,-,,,,DB - UK,Offline,3,,,,,,18,Offline,Offline,,,
9709482,588757,BVI,-,2025-12-04,1800,UK,D113/D256,10,20,3,82.64691198000001,180,10.330863997500002,21.779398127247486,0.24199331252497205,0.011111111111111112,x,-,,,,DB - UK,No Info,8,,,,,,15,C1,C1,,,
9720654,588758,BVI,-,2026-01-15,750,France,D113/D256,5,15,2,30.7027716,150,3.83784645,24.42776208516628,0.4885552417033256,0.02,x,-,,,,RT/DB,C1,8,,,,,,11,C1,C1,,,
9721581,591447,BVI,-,2026-01-23,25,Netherlands,D120,20,6,1,0.91847775,1.25,0.11480971875,27.21895005077695,6.532548012186468,0.24,x,-,,,,RT/DB,Offline,3,,,,,,6,Offline,Offline,,,
9721098,591597,BVI,-,2026-01-23,14,Belgium,D113/D256,7,10,2,0.4095175714,2,0.051189696425,34.18656726288644,24.418976616347457,0.7142857142857143,x,-,,,,RT/DB,Offline,3,,,,,,9,Offline,Offline,,,
