Day,Order No,Part No,Brand,Start Date,Lot Size,Picks,Hours,Country,Wrap Type,CPU,Suggested Line,Qty/Hr,Picks/Hr,Picks/Qty
Remainder,9722316,588683,BVI,2026-02-06,10.0,21.0,0.41221954400000005,Italy,D113/D265,10.0,Offline,24.25891771885517,50.943727209595856,2.1
Remainder,9722273,590850,BVI,2026-02-06,12.0,12.0,0.37614383760000003,Italy,D113/D256,12.0,Offline,31.902689345029426,31.902689345029426,1.0
Remainder,9722182,591762,BVI,2026-02-06,7.0,19.0,0.320178985,Belgium,D113/D256,7.0,Offline,21.862771536988912,59.341808457541326,2.7142857142857144
Remainder,9722226,590188,BVI,2026-02-06,10.0,12.0,0.2991432,UK,D120,10.0,Offline,33.428806003278694,40.114567203934435,1.2
Remainder,9722306,588682,BVI,2026-02-06,5.0,25.0,0.229549089,Italy,D113/D265,5.0,Offline,21.78183334023164,108.9091667011582,5.0
Remainder,9722284,588140,BVI,2026-02-06,5.0,23.0,0.2083848105,Italy,D113/D256,5.0,Offline,23.99407129532601,110.37272795849965,4.6
Remainder,9721999,588559,BVI,2026-01-30,25.0,23.0,1.267460115,Belgium,D113/D256,5.0,Offline,19.72448655711742,18.146527632548025,0.92
Remainder,9722394,588941,BVI,2026-02-10,28.0,20.0,1.230663686,Austria,D113/D256,7.0,Offline,22.751951096410266,16.25139364029305,0.7142857142857143
Remainder,9720927,588410,BVI,2026-01-23,20.0,21.0,1.183069098,Italy,D113/D256,10.0,Offline,16.905183335284782,17.750442502049022,1.05
Remainder,9721020,591113,BVI,2026-01-23,28.0,20.0,1.132751074,UK,D113/D256,7.0,Offline,24.71858172786866,17.656129805620473,0.7142857142857143
Remainder,9720931,588227,BVI,2026-01-23,25.0,24.0,1.1084202725,France,D113/D256,5.0,Offline,22.554621762387512,21.652436891892012,0.96
Remainder,9721588,592015,BVI,2026-01-23,25.0,23.0,1.09806147,France,D113/D256,5.0,Offline,22.767395708730223,20.946004052031807,0.92
Remainder,9721019,591001,BVI,2026-01-23,16.0,31.0,0.9642101808,UK,D113/D256,8.0,Offline,16.593892409147646,32.15066654272356,1.9375
Remainder,9720891,588122,BVI,2026-01-23,28.0,14.0,0.9605687167999999,Spain,D113/D256,4.0,Offline,29.149398174529438,14.574699087264719,0.5
Remainder,9721896,590152,BVI,2026-01-30,25.0,17.0,0.9591954324999998,Belgium,D113/D256,5.0,Offline,26.063510263848137,17.723186979416734,0.68
Remainder,9722353,588610,BVI,2026-02-06,10.0,48.0,0.937984683,Germany,D113/D260,10.0,Offline,10.661154900756518,51.17354352363129,4.8
Remainder,9721931,588459,BVI,2026-01-30,18.0,24.0,0.931671315,Belgium,D113/D256,9.0,Offline,19.320118275832073,25.76015770110943,1.3333333333333333
Remainder,9721581,591447,BVI,2026-01-23,25.0,6.0,0.91847775,Netherlands,D120,20.0,Offline,27.21895005077695,6.532548012186468,0.24
Remainder,9721084,590852,BVI,2026-01-23,24.0,13.0,0.7845824184,Italy,D113/D256,12.0,Offline,30.589520536214962,16.569323623783106,0.5416666666666666
Remainder,9722023,588639,BVI,2026-01-30,20.0,15.0,0.760785676,Italy,D113/D256,5.0,Offline,26.288612720936666,19.7164595407025,0.75
Remainder,9720899,588862,BVI,2026-01-23,25.0,21.0,0.7584430475,France,D113/D256,5.0,Offline,32.96226405187002,27.68830180357082,0.84
Remainder,9721891,588305,BVI,2026-01-30,10.0,22.0,0.754385965,France,D113/D256,5.0,Offline,13.255813951947,29.162790694283398,2.2
Remainder,9722259,590171,BVI,2026-02-06,20.0,16.0,0.735175214,France,D113/D256,10.0,Offline,27.204399195101267,21.763519356081012,0.8
Remainder,9722037,588792,BVI,2026-01-30,25.0,20.0,0.7196354075,France,D113/D256,5.0,Offline,34.739813716017025,27.79185097281362,0.8
Remainder,9722051,588680,BVI,2026-01-30,12.0,21.0,0.6819391152000001,France,D113/D256,4.0,Offline,17.596878859897373,30.794538004820403,1.75
Remainder,9720822,591473,BVI,2026-01-20,12.0,25.0,0.6804441372000001,UK,D113/D256,12.0,Offline,17.63554029487198,36.74070894764996,2.0833333333333335
Remainder,9720898,588804,BVI,2026-01-23,16.0,33.0,0.679937896,Ireland,D113/D256,8.0,Offline,23.531560888319717,48.53384433215942,2.0625
Remainder,9722242,588529,BVI,2026-02-06,17.0,19.0,0.6740047409,France,D113/D256,17.0,Offline,25.222374515199796,28.189712693458596,1.1176470588235294
Remainder,9720866,590426,BVI,2026-01-23,12.0,18.0,0.6476262456,France,D113/D256,6.0,Offline,18.529205821302803,27.793808731954204,1.5
Remainder,9721906,588531,BVI,2026-01-30,14.0,18.0,0.6451683140000001,Denmark,D113/D256,7.0,Offline,21.69976376118186,27.899696264376676,1.2857142857142858
Remainder,9721696,591470,BVI,2026-01-30,10.0,29.0,0.633918502,France,D113/D256,10.0,Offline,15.774898458477239,45.747205529583994,2.9
Remainder,9720890,588739,BVI,2026-01-23,12.0,23.0,0.62111421,Belgium,D113/D256,6.0,Offline,19.320118275832073,37.03022669534481,1.9166666666666667
Remainder,9720926,588226,BVI,2026-01-23,20.0,11.0,0.599595884,France,D113/D256,20.0,Offline,33.355799353686024,18.345689644527315,0.55
Remainder,9722315,588651,BVI,2026-02-06,25.0,5.0,0.598905495,Spain,D113/D265,25.0,Offline,41.74281286231979,8.348562572463958,0.2
